1	je	je	PRO:PER	PRO:PER	_
2	t'aime	t'aime	VER:subp	VER:subp	_
3	.	.	SENT	SENT	_
4	prions	prier	VER:pres	VER:pres	_
5	L'algorithmique	L'algorithmique	ADJ	ADJ	_
6	est	être	VER:pres	VER:pres	_
7	l’ensemble	l’ensemble	ADJ	ADJ	_
8	règles	règle|règles	NOM	NOM	_
9	techniques	technique	ADJ	ADJ	_
10	qui	qui	PRO:REL	PRO:REL	_
11	sont	être	VER:pres	VER:pres	_
12	impliquées	impliquer	VER:pper	VER:pper	_
13	définition	définition	NOM	NOM	_
14	conception	conception	NOM	NOM	_
15	d'algorithmes,	d'algorithmes,	NOM	NOM	_
16	c'est-à-dire	c'est-à-dire	ADV	ADV	_
17	processus	processus	NOM	NOM	_
18	systématiques	systématique	ADJ	ADJ	_
19	résolution	résolution	NOM	NOM	_
20	d'un	d'un	ADJ	ADJ	_
21	problème	problème	NOM	NOM	_
22	permettant	permettre	VER:ppre	VER:ppre	_
23	décrire	décrire	VER:infi	VER:infi	_
24	étapes	étape	NOM	NOM	_
25	vers	vers	PRP	PRP	_
26	résultat	résultat	NOM	NOM	_
27	.	.	SENT	SENT	_
28	En	en	PRP	PRP	_
29	d'autres	d'autres	ADJ	ADJ	_
30	termes,	termes,	NOM	NOM	_
31	un	un	DET:ART	DET:ART	_
32	algorithme	algorithme	NOM	NOM	_
33	est	être	VER:pres	VER:pres	_
34	une	un	DET:ART	DET:ART	_
35	suite	suite	NOM	NOM	_
36	finie	fini	ADJ	ADJ	_
37	non-ambiguë	non-ambiguë	ADJ	ADJ	_
38	d’instructions	d’instructions	NOM	NOM	_
39	permettant	permettre	VER:ppre	VER:ppre	_
40	donner	donner	VER:infi	VER:infi	_
41	réponse	réponse	NOM	NOM	_
42	à	à	PRP	PRP	_
43	un	un	DET:ART	DET:ART	_
44	problème	problème	NOM	NOM	_
45	.	.	SENT	SENT	_
