1	je	je	PRO:PER	PRO:PER	_	0	ROOT	_	_

2	t'aime	t'aime	VER:subp	VER:subp	_	0	ROOT	_	_

3	.	.	SENT	SENT	_	2	mod	_	_

1	prions	prier	VER:pres	VER:pres	_	0	ROOT	_	_

2	L'algorithmique	L'algorithmique	ADJ	ADJ	_	4	dep	_	_

3	est	être	VER:pres	VER:pres	_	0	ROOT	_	_

4	l’ensemble	l’ensemble	ADJ	ADJ	_	6	dep	_	_

5	règles	règle|règles	NOM	NOM	_	6	dep	_	_

6	techniques	technique	ADJ	ADJ	_	6	dep	_	_

7	qui	qui	PRO:REL	PRO:REL	_	6	dep	_	_

8	sont	être	VER:pres	VER:pres	_	6	dep	_	_

9	impliquées	impliquer	VER:pper	VER:pper	_	6	dep	_	_

10	définition	définition	NOM	NOM	_	6	dep	_	_

11	conception	conception	NOM	NOM	_	6	dep	_	_

12	d'algorithmes,	d'algorithmes,	NOM	NOM	_	0	ROOT	_	_

13	c'est-à-dire	c'est-à-dire	ADV	ADV	_	0	ROOT	_	_

14	processus	processus	NOM	NOM	_	16	dep	_	_

15	systématiques	systématique	ADJ	ADJ	_	16	dep	_	_

16	résolution	résolution	NOM	NOM	_	16	dep	_	_

17	d'un	d'un	ADJ	ADJ	_	16	dep	_	_

18	problème	problème	NOM	NOM	_	16	dep	_	_

19	permettant	permettre	VER:ppre	VER:ppre	_	16	dep	_	_

20	décrire	décrire	VER:infi	VER:infi	_	16	dep	_	_

21	étapes	étape	NOM	NOM	_	16	dep	_	_

22	vers	vers	PRP	PRP	_	16	dep	_	_

23	résultat	résultat	NOM	NOM	_	0	ROOT	_	_

24	.	.	SENT	SENT	_	26	mod	_	_

1	En	en	PRP	PRP	_	0	ROOT	_	_

2	d'autres	d'autres	ADJ	ADJ	_	28	coord	_	_

3	termes,	termes,	NOM	NOM	_	28	coord	_	_

4	un	un	DET:ART	DET:ART	_	0	ROOT	_	_

5	algorithme	algorithme	NOM	NOM	_	31	dep	_	_

6	est	être	VER:pres	VER:pres	_	0	ROOT	_	_

7	une	un	DET:ART	DET:ART	_	33	dep	_	_

8	suite	suite	NOM	NOM	_	33	dep	_	_

9	finie	fini	ADJ	ADJ	_	33	dep	_	_

10	non-ambiguë	non-ambiguë	ADJ	ADJ	_	33	dep	_	_

11	d’instructions	d’instructions	NOM	NOM	_	33	dep	_	_

12	permettant	permettre	VER:ppre	VER:ppre	_	33	dep	_	_

13	donner	donner	VER:infi	VER:infi	_	33	dep	_	_

14	réponse	réponse	NOM	NOM	_	33	dep	_	_

15	à	à	PRP	PRP	_	33	dep	_	_

16	un	un	DET:ART	DET:ART	_	33	dep	_	_

17	problème	problème	NOM	NOM	_	33	dep	_	_

18	.	.	SENT	SENT	_	33	dep	_	_

